,ビール,東京,京都
2011年1月,475,5.1,2.8
2011年2月,625,7,6.3
2011年3月,800,8.1,6.8
2011年4月,960,14.5,12.5
2011年5月,730,18.5,19
2011年6月,980,22.8,24.1
2011年7月,1295,27.3,27.9
2011年8月,1135,27.5,28.7
2011年9月,830,25.1,24.7
2011年10月,805,19.5,18.4
2011年11月,840,14.9,13.8
2011年12月,1375,7.5,6.5
2012年1月,480,4.8,4.1
2012年2月,610,5.4,4.1
2012年3月,810,8.8,8.3
2012年4月,886,14.5,14.2
2012年5月,847,19.6,18.8
2012年6月,998,21.4,22.7
2012年7月,1193,26.4,27.5
2012年8月,1177,29.1,29
2012年9月,810,26.2,25.6
2012年10月,818,19.4,18.2
2012年11月,865,12.7,11.1
2012年12月,1317,7.3,5.4
2013年1月,485,5.5,3.9
2013年2月,610,6.2,4.5
2013年3月,790,12.1,9.7
2013年4月,847,15.2,13.4
2013年5月,859,19.8,19.2
2013年6月,962,22.9,24.1
2013年7月,1236,27.3,28
2013年8月,1108,29.2,29.2
2013年9月,753,25.2,24.3
2013年10月,813,19.8,20
2013年11月,836,13.5,11.5
2013年12月,1325,8.3,6.3
2014年1月,499,6.3,4.4
2014年2月,684,5.9,5.1
2014年3月,966,10.4,9
2014年4月,708,15,14.4
2014年5月,851,20.3,19.8
2014年6月,957,23.4,24.1
2014年7月,1160,26.8,27.6
2014年8月,1035,27.7,27.5
2014年9月,754,23.2,23.3
2014年10月,814,19.1,18.8
2014年11月,808,14.2,13.1
2014年12月,1375,6.7,5.5
2015年1月,462,5.8,4.9
2015年2月,645,5.7,5.6
2015年3月,776,10.3,9.4
2015年4月,843,14.5,15.6
2015年5月,853,21.1,21.2
2015年6月,958,22.1,22.8
2015年7月,1109,26.2,27.2
2015年8月,1037,26.7,28.3
2015年9月,768,22.6,22.9
2015年10月,810,18.4,18.1
2015年11月,766,13.9,14.5
2015年12月,1351,9.3,9
2016年1月,452,6.1,5.7
2016年2月,584,7.2,6.4
2016年3月,750,10.1,9.9
2016年4月,835,15.4,16.1
2016年5月,794,20.2,21
2016年6月,961,22.4,23.2
2016年7月,1025,25.4,27.8
2016年8月,1021,27.1,29
2016年9月,748,24.4,25.3
2016年10月,730,18.7,19.7
2016年11月,787,11.4,12.5
2016年12月,1313,8.9,8.2
2017年1月,441,5.8,4.8
2017年2月,575,6.9,5.1
2017年3月,796,8.5,8.2
2017年4月,784,14.7,14.8
