Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,あ1,い1,う1,え1,お1,か1,き1,く1,け1,こ1,さ1,し1,す1,せ1,そ1,た1,ち1,つ1,て1,と1,な1,に1,ぬ1,ね1,の1,は1,ひ1,ふ1,へ1,ほ1,ま1,み1,む1,め1,も1,や1,ゆ1,よ1,ら1,り1,る1,れ1,ろ1,わ1,を1,ん1,ア1,イ1,ウ1,エ1,オ1,カ1,キ1,ク1,ケ1,コ1,サ1,シ1,ス1,セ1,ソ1,タ1,チ1,ツ1,テ1,ト1,ナ1,ニ1,ヌ1,ネ1,ノ1,ハ1,ヒ1,フ1,ヘ1,ホ1,マ1,ミ1,ム1,メ1,モ1,ヤ1,ユ1,ヨ1,ラ1,リ1,ル1,レ1,ロ1,ワ1,ヲ1,ン1,有1,限1,会1,社1,増1,田1,技1,術1,事1
2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,あ1,い1,う1,え1,お1,か1,き1,く1,け1,こ1,さ1,し1,す1,せ1,そ1,た1,ち1,つ1,て1,と1,な1,に1,ぬ1,ね1,の1,は1,ひ1,ふ1,へ1,ほ1,ま1,み1,む1,め1,も1,や1,ゆ1,よ2,ら2,り2,る2,れ2,ろ2,わ2,を2,ん2,ア2,イ2,ウ2,エ2,オ2,カ2,キ2,ク2,ケ2,コ2,サ2,シ2,ス2,セ2,ソ2,タ2,チ2,ツ2,テ2,ト2,ナ2,ニ2,ヌ2,ネ2,ノ2,ハ2,ヒ2,フ2,ヘ2,ホ2,マ2,ミ2,ム2,メ2,モ2,ヤ2,ユ2,ヨ2,ラ2,リ2,ル2,レ2,ロ2,ワ2,ヲ2,ン2,有2,限2,会2,社2,増2,田2,技2,術2,事2
3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,あ1,い1,う1,え1,お1,か2,き2,く2,け2,こ2,さ2,し2,す2,せ2,そ2,た2,ち2,つ2,て2,と2,な2,に2,ぬ2,ね2,の2,は2,ひ2,ふ2,へ2,ほ2,ま2,み2,む2,め2,も2,や2,ゆ2,よ1,ら1,り1,る1,れ1,ろ1,わ1,を1,ん1,ア1,イ1,ウ1,エ1,オ1,カ1,キ1,ク1,ケ1,コ1,サ1,シ1,ス1,セ1,ソ1,タ1,チ1,ツ1,テ1,ト1,ナ1,ニ1,ヌ1,ネ2,ノ2,ハ2,ヒ2,フ2,ヘ2,ホ2,マ2,ミ2,ム2,メ2,モ2,ヤ2,ユ2,ヨ2,ラ2,リ2,ル2,レ2,ロ2,ワ2,ヲ2,ン2,有2,限2,会2,社2,増2,田2,技2,術2,事2
4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,あ1,い1,う1,え1,お1,か2,き2,く2,け2,こ2,さ2,し2,す2,せ2,そ2,た2,ち2,つ2,て2,と2,な2,に2,ぬ2,ね2,の2,は2,ひ2,ふ2,へ2,ほ2,ま2,み2,む2,め2,も2,や2,ゆ2,よ2,ら2,り2,る2,れ2,ろ2,わ2,を2,ん2,ア2,イ2,ウ2,エ2,オ2,カ2,キ2,ク2,ケ2,コ2,サ2,シ2,ス2,セ2,ソ2,タ2,チ2,ツ2,テ2,ト2,ナ2,ニ2,ヌ2,ネ1,ノ1,ハ1,ヒ1,フ1,ヘ1,ホ1,マ1,ミ1,ム1,メ1,モ1,ヤ1,ユ1,ヨ1,ラ1,リ1,ル1,レ1,ロ1,ワ1,ヲ1,ン1,有1,限1,会1,社1,増1,田1,技1,術1,事1
5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,あ2,い2,う2,え2,お2,か1,き1,く1,け1,こ1,さ1,し1,す1,せ1,そ1,た1,ち1,つ1,て1,と1,な1,に2,ぬ2,ね2,の2,は2,ひ2,ふ2,へ2,ほ2,ま2,み2,む2,め2,も2,や2,ゆ2,よ1,ら1,り1,る1,れ1,ろ1,わ1,を1,ん1,ア1,イ1,ウ1,エ1,オ1,カ1,キ1,ク2,ケ2,コ2,サ2,シ2,ス2,セ2,ソ2,タ2,チ2,ツ2,テ2,ト2,ナ2,ニ2,ヌ2,ネ1,ノ1,ハ1,ヒ1,フ1,ヘ1,ホ1,マ1,ミ1,ム1,メ1,モ1,ヤ1,ユ1,ヨ1,ラ1,リ2,ル2,レ2,ロ2,ワ2,ヲ2,ン2,有2,限2,会2,社2,増2,田2,技2,術2,事2
6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,あ2,い2,う2,え2,お2,か1,き1,く1,け1,こ1,さ1,し1,す1,せ1,そ1,た1,ち1,つ1,て1,と1,な1,に2,ぬ2,ね2,の2,は2,ひ2,ふ2,へ2,ほ2,ま2,み2,む2,め2,も2,や2,ゆ2,よ2,ら2,り2,る2,れ2,ろ2,わ2,を2,ん2,ア2,イ2,ウ2,エ2,オ2,カ2,キ2,ク1,ケ1,コ1,サ1,シ1,ス1,セ1,ソ1,タ1,チ1,ツ1,テ1,ト1,ナ1,ニ1,ヌ1,ネ2,ノ2,ハ2,ヒ2,フ2,ヘ2,ホ2,マ2,ミ2,ム2,メ2,モ2,ヤ2,ユ2,ヨ2,ラ2,リ1,ル1,レ1,ロ1,ワ1,ヲ1,ン1,有1,限1,会1,社1,増1,田1,技1,術1,事1
7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,あ2,い2,う2,え2,お2,か2,き2,く2,け2,こ2,さ2,し2,す2,せ2,そ2,た2,ち2,つ2,て2,と2,な2,に1,ぬ1,ね1,の1,は1,ひ1,ふ1,へ1,ほ1,ま1,み1,む1,め1,も1,や1,ゆ1,よ1,ら1,り1,る1,れ1,ろ1,わ1,を1,ん1,ア1,イ1,ウ1,エ1,オ1,カ1,キ1,ク2,ケ2,コ2,サ2,シ2,ス2,セ2,ソ2,タ2,チ2,ツ2,テ2,ト2,ナ2,ニ2,ヌ2,ネ2,ノ2,ハ2,ヒ2,フ2,ヘ2,ホ2,マ2,ミ2,ム2,メ2,モ2,ヤ2,ユ2,ヨ2,ラ2,リ1,ル1,レ1,ロ1,ワ1,ヲ1,ン1,有1,限1,会1,社1,増1,田1,技1,術1,事1
8.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,あ2,い2,う2,え2,お2,か2,き2,く2,け2,こ2,さ2,し2,す2,せ2,そ2,た2,ち2,つ2,て2,と2,な2,に1,ぬ1,ね1,の1,は1,ひ1,ふ1,へ1,ほ1,ま1,み1,む1,め1,も1,や1,ゆ1,よ2,ら2,り2,る2,れ2,ろ2,わ2,を2,ん2,ア2,イ2,ウ2,エ2,オ2,カ2,キ2,ク1,ケ1,コ1,サ1,シ1,ス1,セ1,ソ1,タ1,チ1,ツ1,テ1,ト1,ナ1,ニ1,ヌ1,ネ1,ノ1,ハ1,ヒ1,フ1,ヘ1,ホ1,マ1,ミ1,ム1,メ1,モ1,ヤ1,ユ1,ヨ1,ラ1,リ2,ル2,レ2,ロ2,ワ2,ヲ2,ン2,有2,限2,会2,社2,増2,田2,技2,術2,事2
9.0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,あ2,い2,う2,え2,お2,か1,き1,く1,け1,こ1,さ1,し1,す1,せ2,そ2,た2,ち2,つ2,て2,と2,な2,に1,ぬ1,ね1,の1,は1,ひ1,ふ1,へ1,ほ2,ま2,み2,む2,め2,も2,や2,ゆ2,よ1,ら1,り1,る1,れ1,ろ1,わ1,を1,ん2,ア2,イ2,ウ2,エ2,オ2,カ2,キ2,ク1,ケ1,コ1,サ1,シ1,ス1,セ1,ソ1,タ2,チ2,ツ2,テ2,ト2,ナ2,ニ2,ヌ2,ネ1,ノ1,ハ1,ヒ1,フ1,ヘ1,ホ1,マ1,ミ2,ム2,メ2,モ2,ヤ2,ユ2,ヨ2,ラ2,リ1,ル1,レ1,ロ1,ワ1,ヲ1,ン1,有1,限2,会2,社2,増2,田2,技2,術2,事2
10.0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,あ2,い2,う2,え2,お2,か1,き1,く1,け1,こ1,さ1,し1,す1,せ2,そ2,た2,ち2,つ2,て2,と2,な2,に1,ぬ1,ね1,の1,は1,ひ1,ふ1,へ1,ほ2,ま2,み2,む2,め2,も2,や2,ゆ2,よ2,ら2,り2,る2,れ2,ろ2,わ2,を2,ん1,ア1,イ1,ウ1,エ1,オ1,カ1,キ1,ク2,ケ2,コ2,サ2,シ2,ス2,セ2,ソ2,タ1,チ1,ツ1,テ1,ト1,ナ1,ニ1,ヌ1,ネ2,ノ2,ハ2,ヒ2,フ2,ヘ2,ホ2,マ2,ミ1,ム1,メ1,モ1,ヤ1,ユ1,ヨ1,ラ1,リ2,ル2,レ2,ロ2,ワ2,ヲ2,ン2,有2,限1,会1,社1,増1,田1,技1,術1,事1
