Trial,A,B,C,D,E,F,G,H,I,J,K,L,M
1.0,1,1,1,1,1,1,1,1,1,1,1,1,1
2.0,1,1,1,1,2,2,2,2,2,2,2,2,2
3.0,1,1,1,1,3,3,3,3,3,3,3,3,3
4.0,1,2,2,2,1,1,1,2,2,2,3,3,3
5.0,1,2,2,2,2,2,2,3,3,3,1,1,1
6.0,1,2,2,2,3,3,3,1,1,1,2,2,2
7.0,1,3,3,3,1,1,1,3,3,3,2,2,2
8.0,1,3,3,3,2,2,2,1,1,1,3,3,3
9.0,1,3,3,3,3,3,3,2,2,2,1,1,1
10.0,2,1,2,3,1,2,3,1,2,3,1,2,3
11.0,2,1,2,3,2,3,1,2,3,1,2,3,1
12.0,2,1,2,3,3,1,2,3,1,2,3,1,2
13.0,2,2,3,1,1,2,3,2,3,1,3,1,2
14.0,2,2,3,1,2,3,1,3,1,2,1,2,3
15.0,2,2,3,1,3,1,2,1,2,3,2,3,1
16.0,2,3,1,2,1,2,3,3,1,2,2,3,1
17.0,2,3,1,2,2,3,1,1,2,3,3,1,2
18.0,2,3,1,2,3,1,2,2,3,1,1,2,3
19.0,3,1,3,2,1,3,2,1,3,2,1,3,2
20.0,3,1,3,2,2,1,3,2,1,3,2,1,3
21.0,3,1,3,2,3,2,1,3,2,1,3,2,1
22.0,3,2,1,3,1,3,2,2,1,3,3,2,1
23.0,3,2,1,3,2,1,3,3,2,1,1,3,2
24.0,3,2,1,3,3,2,1,1,3,2,2,1,3
25.0,3,3,2,1,1,3,2,3,2,1,2,1,3
26.0,3,3,2,1,2,1,3,1,3,2,3,2,1
27.0,3,3,2,1,3,2,1,2,1,3,1,3,2
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
