Trial,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P
1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
3.0,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3
4.0,1,2,2,1,1,1,1,1,2,2,2,2,3,3,3,3
5.0,1,2,2,1,2,2,2,2,3,3,3,3,1,1,1,1
6.0,1,2,2,1,3,3,3,3,1,1,1,1,2,2,2,2
7.0,2,1,2,1,1,1,2,3,1,2,3,3,1,2,2,3
8.0,2,1,2,1,2,2,3,1,2,3,1,1,2,3,3,1
9.0,2,1,2,1,3,3,1,2,3,1,2,2,3,1,1,2
10.0,2,2,1,1,1,1,3,2,1,3,2,3,2,1,3,2
11.0,2,2,1,1,2,2,1,3,2,1,3,1,3,2,1,3
12.0,2,2,1,1,3,3,2,1,3,2,1,2,1,3,2,1
13.0,1,1,1,2,1,2,3,1,3,2,1,3,3,2,1,2
14.0,1,1,1,2,2,3,1,2,1,3,2,1,1,3,2,3
15.0,1,1,1,2,3,1,2,3,2,1,3,2,2,1,3,1
16.0,1,2,2,2,1,2,3,2,1,1,3,2,3,3,2,1
17.0,1,2,2,2,2,3,1,3,2,2,1,3,1,1,3,2
18.0,1,2,2,2,3,1,2,1,3,3,2,1,2,2,1,3
19.0,2,1,2,2,1,2,1,3,3,3,1,2,2,1,2,3
20.0,2,1,2,2,2,3,2,1,1,1,2,3,3,2,3,1
21.0,2,1,2,2,3,1,3,2,2,2,3,1,1,3,1,2
22.0,2,2,1,2,1,2,2,3,3,1,2,1,1,3,3,2
23.0,2,2,1,2,2,3,3,1,1,2,3,2,2,1,1,3
24.0,2,2,1,2,3,1,1,2,2,3,1,3,3,2,2,1
25.0,1,1,1,3,1,3,2,1,2,3,3,1,3,1,2,2
26.0,1,1,1,3,2,1,3,2,3,1,1,2,1,2,3,3
27.0,1,1,1,3,3,2,1,3,1,2,2,3,2,3,1,1
28.0,1,2,2,3,1,3,2,2,2,1,1,3,2,3,1,3
29.0,1,2,2,3,2,1,3,3,3,2,2,1,3,1,2,1
30.0,1,2,2,3,3,2,1,1,1,3,3,2,1,2,3,2
31.0,2,1,2,3,1,3,3,3,2,3,2,2,1,2,1,1
32.0,2,1,2,3,2,1,1,1,3,1,3,3,2,3,2,2
33.0,2,1,2,3,3,2,2,2,1,2,1,1,3,1,3,3
34.0,2,2,1,3,1,3,1,2,3,2,3,1,2,2,3,1
35.0,2,2,1,3,2,1,2,3,1,3,1,2,3,3,1,2
36.0,2,2,1,3,3,2,3,1,2,1,2,3,1,1,2,3
