Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,あ1,い1,う1,え1,お1,か1,き1,く1,け1,こ1,さ1,し1,す1,せ1,そ1,た1,ち1,つ1,て1,と1,な1,に1,ぬ1,ね1,の1,は1,ひ1,ふ1,へ1,ほ1,ま1,み1,む1,め1,も1,や1,ゆ1
2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,あ1,い1,う1,え1,お1,か2,き2,く2,け2,こ2,さ2,し2,す2,せ2,そ2,た2,ち2,つ2,て2,と2,な2,に2,ぬ2,ね2,の2,は2,ひ2,ふ2,へ2,ほ2,ま2,み2,む2,め2,も2,や2,ゆ2
3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,あ2,い2,う2,え2,お2,か1,き1,く1,け1,こ1,さ1,し1,す1,せ1,そ1,た1,ち1,つ1,て1,と1,な1,に2,ぬ2,ね2,の2,は2,ひ2,ふ2,へ2,ほ2,ま2,み2,む2,め2,も2,や2,ゆ2
4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,あ2,い2,う2,え2,お2,か2,き2,く2,け2,こ2,さ2,し2,す2,せ2,そ2,た2,ち2,つ2,て2,と2,な2,に1,ぬ1,ね1,の1,は1,ひ1,ふ1,へ1,ほ1,ま1,み1,む1,め1,も1,や1,ゆ1
5.0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,あ2,い2,う2,え2,お2,か1,き1,く1,け1,こ1,さ1,し1,す1,せ2,そ2,た2,ち2,つ2,て2,と2,な2,に1,ぬ1,ね1,の1,は1,ひ1,ふ1,へ1,ほ2,ま2,み2,む2,め2,も2,や2,ゆ2
6.0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,あ2,い2,う2,え2,お2,か2,き2,く2,け2,こ2,さ2,し2,す2,せ1,そ1,た1,ち1,つ1,て1,と1,な1,に2,ぬ2,ね2,の2,は2,ひ2,ふ2,へ2,ほ1,ま1,み1,む1,め1,も1,や1,ゆ1
7.0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,あ1,い1,う1,え1,お1,か1,き1,く1,け1,こ1,さ1,し1,す1,せ2,そ2,た2,ち2,つ2,て2,と2,な2,に2,ぬ2,ね2,の2,は2,ひ2,ふ2,へ2,ほ1,ま1,み1,む1,め1,も1,や1,ゆ1
8.0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,あ1,い1,う1,え1,お1,か2,き2,く2,け2,こ2,さ2,し2,す2,せ1,そ1,た1,ち1,つ1,て1,と1,な1,に1,ぬ1,ね1,の1,は1,ひ1,ふ1,へ1,ほ2,ま2,み2,む2,め2,も2,や2,ゆ2
9.0,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,あ1,い2,う2,え2,お2,か1,き1,く1,け1,こ2,さ2,し2,す2,せ1,そ1,た1,ち1,つ2,て2,と2,な2,に1,ぬ1,ね1,の1,は2,ひ2,ふ2,へ2,ほ1,ま1,み1,む1,め2,も2,や2,ゆ2
10.0,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,あ1,い2,う2,え2,お2,か2,き2,く2,け2,こ1,さ1,し1,す1,せ2,そ2,た2,ち2,つ1,て1,と1,な1,に2,ぬ2,ね2,の2,は1,ひ1,ふ1,へ1,ほ2,ま2,み2,む2,め1,も1,や1,ゆ1
11.0,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,あ2,い1,う1,え1,お1,か1,き1,く1,け1,こ2,さ2,し2,す2,せ1,そ1,た1,ち1,つ2,て2,と2,な2,に2,ぬ2,ね2,の2,は1,ひ1,ふ1,へ1,ほ2,ま2,み2,む2,め1,も1,や1,ゆ1
12.0,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,あ2,い1,う1,え1,お1,か2,き2,く2,け2,こ1,さ1,し1,す1,せ2,そ2,た2,ち2,つ1,て1,と1,な1,に1,ぬ1,ね1,の1,は2,ひ2,ふ2,へ2,ほ1,ま1,み1,む1,め2,も2,や2,ゆ2
13.0,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,あ2,い1,う1,え1,お1,か1,き1,く1,け1,こ2,さ2,し2,す2,せ2,そ2,た2,ち2,つ1,て1,と1,な1,に1,ぬ1,ね1,の1,は2,ひ2,ふ2,へ2,ほ2,ま2,み2,む2,め1,も1,や1,ゆ1
14.0,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,あ2,い1,う1,え1,お1,か2,き2,く2,け2,こ1,さ1,し1,す1,せ1,そ1,た1,ち1,つ2,て2,と2,な2,に2,ぬ2,ね2,の2,は1,ひ1,ふ1,へ1,ほ1,ま1,み1,む1,め2,も2,や2,ゆ2
15.0,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,あ1,い2,う2,え2,お2,か1,き1,く1,け1,こ2,さ2,し2,す2,せ2,そ2,た2,ち2,つ1,て1,と1,な1,に2,ぬ2,ね2,の2,は1,ひ1,ふ1,へ1,ほ1,ま1,み1,む1,め2,も2,や2,ゆ2
16.0,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,あ1,い2,う2,え2,お2,か2,き2,く2,け2,こ1,さ1,し1,す1,せ1,そ1,た1,ち1,つ2,て2,と2,な2,に1,ぬ1,ね1,の1,は2,ひ2,ふ2,へ2,ほ2,ま2,み2,む2,め1,も1,や1,ゆ1
17.0,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,あ2,い1,う1,え2,お2,か1,き1,く2,け2,こ1,さ1,し2,す2,せ1,そ1,た2,ち2,つ1,て1,と2,な2,に1,ぬ1,ね2,の2,は1,ひ1,ふ2,へ2,ほ1,ま1,み2,む2,め1,も1,や2,ゆ2
18.0,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,あ2,い1,う1,え2,お2,か2,き2,く1,け1,こ2,さ2,し1,す1,せ2,そ2,た1,ち1,つ2,て2,と1,な1,に2,ぬ2,ね1,の1,は2,ひ2,ふ1,へ1,ほ2,ま2,み1,む1,め2,も2,や1,ゆ1
19.0,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,2,1,1,2,2,1,1,2,2,1,あ1,い2,う2,え1,お1,か1,き1,く2,け2,こ1,さ1,し2,す2,せ1,そ1,た2,ち2,つ1,て1,と2,な2,に2,ぬ2,ね1,の1,は2,ひ2,ふ1,へ1,ほ2,ま2,み1,む1,め2,も2,や1,ゆ1
20.0,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,2,1,1,2,2,1,1,2,2,1,あ1,い2,う2,え1,お1,か2,き2,く1,け1,こ2,さ2,し1,す1,せ2,そ2,た1,ち1,つ2,て2,と1,な1,に1,ぬ1,ね2,の2,は1,ひ1,ふ2,へ2,ほ1,ま1,み2,む2,め1,も1,や2,ゆ2
21.0,1,2,2,1,1,2,2,2,2,1,1,2,2,1,1,1,1,2,2,1,1,2,2,2,2,1,あ1,い2,う2,え1,お1,か1,き1,く2,け2,こ1,さ1,し2,す2,せ2,そ2,た1,ち1,つ2,て2,と1,な1,に1,ぬ1,ね2,の2,は1,ひ1,ふ2,へ2,ほ2,ま2,み1,む1,め2,も2,や1,ゆ1
22.0,1,2,2,1,1,2,2,2,2,1,1,2,2,1,1,1,1,2,2,1,1,2,2,2,2,1,あ1,い2,う2,え1,お1,か2,き2,く1,け1,こ2,さ2,し1,す1,せ1,そ1,た2,ち2,つ1,て1,と2,な2,に2,ぬ2,ね1,の1,は2,ひ2,ふ1,へ1,ほ1,ま1,み2,む2,め1,も1,や2,ゆ2
23.0,1,2,2,1,1,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,1,1,2,あ2,い1,う1,え2,お2,か1,き1,く2,け2,こ1,さ1,し2,す2,せ2,そ2,た1,ち1,つ2,て2,と1,な1,に2,ぬ2,ね1,の1,は2,ひ2,ふ1,へ1,ほ1,ま1,み2,む2,め1,も1,や2,ゆ2
24.0,1,2,2,1,1,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,1,1,2,あ2,い1,う1,え2,お2,か2,き2,く1,け1,こ2,さ2,し1,す1,せ1,そ1,た2,ち2,つ1,て1,と2,な2,に1,ぬ1,ね2,の2,は1,ひ1,ふ2,へ2,ほ2,ま2,み1,む1,め2,も2,や1,ゆ1
25.0,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,あ2,い2,う2,え1,お1,か1,き1,く2,け2,こ2,さ2,し1,す1,せ1,そ1,た2,ち2,つ2,て2,と1,な1,に1,ぬ1,ね2,の2,は2,ひ2,ふ1,へ1,ほ1,ま1,み2,む2,め2,も2,や1,ゆ1
26.0,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,あ2,い2,う2,え1,お1,か2,き2,く1,け1,こ1,さ1,し2,す2,せ2,そ2,た1,ち1,つ1,て1,と2,な2,に2,ぬ2,ね1,の1,は1,ひ1,ふ2,へ2,ほ2,ま2,み1,む1,め1,も1,や2,ゆ2
