Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,あ1,い1,う1,え1,お1,か1,き1,く1,け1,こ1,さ1,し1,す1,せ1
2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,あ2,い2,う2,え2,お2,か2,き2,く2,け2,こ2,さ2,し2,す2,せ2
3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,あ3,い3,う3,え3,お3,か3,き3,く3,け3,こ3,さ3,し3,す3,せ3
4.0,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,あ2,い2,う2,え2,お2,か3,き3,く3,け3,こ3,さ3,し3,す3,せ3
5.0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,あ3,い3,う3,え3,お3,か1,き1,く1,け1,こ1,さ1,し1,す1,せ1
6.0,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,1,1,1,1,あ1,い1,う1,え1,お1,か2,き2,く2,け2,こ2,さ2,し2,す2,せ2
7.0,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,3,あ3,い3,う3,え3,お3,か2,き2,く2,け2,こ2,さ2,し2,す2,せ2
8.0,1,1,1,1,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,あ1,い1,う1,え1,お1,か3,き3,く3,け3,こ3,さ3,し3,す3,せ3
9.0,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,あ2,い2,う2,え2,お2,か1,き1,く1,け1,こ1,さ1,し1,す1,せ1
10.0,1,2,2,2,1,1,1,2,2,2,3,3,3,1,1,1,2,2,2,3,3,3,1,1,1,2,あ2,い2,う3,え3,お3,か1,き1,く1,け2,こ2,さ2,し3,す3,せ3
11.0,1,2,2,2,1,1,1,2,2,2,3,3,3,2,2,2,3,3,3,1,1,1,2,2,2,3,あ3,い3,う1,え1,お1,か2,き2,く2,け3,こ3,さ3,し1,す1,せ1
