Watching for file changes with StatReloader
Not Found: /api/projects/list
[02/Aug/2025 14:20:23] "GET /api/projects/list HTTP/1.1" 404 2545
[02/Aug/2025 14:20:35] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:20:35] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:20:35] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:20:36] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:20:36] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:20:36] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
Project directory not found: /home/futaro/project/StatVizForge_JikkenPy/project/test_project
Not Found: /api/v1/projects/images/upload/
[02/Aug/2025 14:20:36] "POST /api/v1/projects/images/upload/ HTTP/1.1" 404 54
[02/Aug/2025 14:20:36] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:20:36] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:20:36] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:20:37] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:20:37] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:20:37] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:20:38] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:20:38] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:20:38] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
Bad Request: /api/v1/projects/images/upload/
[02/Aug/2025 14:20:38] "POST /api/v1/projects/images/upload/ HTTP/1.1" 400 35
[02/Aug/2025 14:20:39] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:20:39] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:20:39] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:20:45] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:20:45] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:20:45] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:20:51] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:20:51] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:20:51] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:20:57] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:20:57] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:20:57] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:21:03] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:21:03] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:21:03] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:21:09] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:21:09] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:21:09] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
