NO,所在地,家賃,敷金,礼金,面積,築年数,駅徒歩分,間取,方位,構造
1,市川市真間,"60,000",1.0 ,1.0 ,23.15 ,19,7,1K,南,軽量鉄骨
2,市川市新田,"77,000",2.0 ,1.0 ,23.19 ,16,2,1K,南東,木造
3,市川市真間,"60,000",1.0 ,1.0 ,32.05 ,19,10,1DK,南,木造
4,市川市新田,"62,000",1.0 ,1.0 ,18.00 ,14,11,1K,南東,木造
5,市川市市川南,"64,000",2.0 ,1.0 ,21.11 ,0,2,1K,東,木造
6,市川市菅野,"51,000",1.0 ,1.0 ,15.80 ,21,12,1K,南,木造
7,市川市菅野,"43,000",1.0 ,1.0 ,14.60 ,16,12,1R,南,木造
8,市川市真間,"59,000",2.0 ,0.0 ,17.39 ,18,6,1K,南西,木造
9,市川市新田,"55,000",2.0 ,1.0 ,19.80 ,16,10,1K,南,軽量鉄骨
10,市川市新田,"51,000",2.0 ,1.0 ,17.00 ,18,6,1K,南,木造
11,市川市新田,"74,000",2.0 ,1.0 ,19.88 ,5,8,1K,南,木造
12,市川市菅野,"47,000",2.0 ,0.5 ,21.00 ,18,13,1DK,南西,木造
13,市川市新田,"58,000",2.0 ,1.0 ,18.00 ,42,11,1K,南東,木造
14,市川市新田,"72,000",2.0 ,2.0 ,20.70 ,0,2,1K,南東,軽量鉄骨
15,市川市市川南,"69,000",1.0 ,1.0 ,27.00 ,15,4,1DK,南,木造
16,市川市大洲,"52,000",1.0 ,1.0 ,17.00 ,17,13,1R,南,木造
17,市川市新田,"73,000",2.0 ,1.0 ,24.94 ,4,4,1R,西,木造
18,市川市新田,"50,000",1.0 ,1.0 ,23.00 ,39,5,1K,南,軽量鉄骨
19,市川市大洲,"56,000",0.0 ,0.0 ,23.14 ,17,15,1R,東,木造
20,市川市新田,"36,000",1.0 ,1.0 ,18.00 ,34,8,1DK,東,軽量鉄骨
21,市川市新田,"63,000",0.0 ,0.0 ,17.42 ,14,10,1K,南,軽量鉄骨
22,市川市新田,"64,000",2.0 ,1.0 ,22.01 ,14,5,1R,南,木造
23,市川市新田,"70,000",2.0 ,2.0 ,31.53 ,28,8,1DK,南,木造
24,市川市大洲,"55,000",2.0 ,0.0 ,22.77 ,23,15,1DK,南,木造
25,市川市菅野,"55,500",1.0 ,1.0 ,14.76 ,19,15,1K,東,木造
26,市川市新田,"57,000",1.0 ,1.0 ,19.00 ,19,10,1K,南,軽量鉄骨
27,市川市新田,"71,000",2.0 ,1.0 ,28.70 ,0,5,1K,南西,木造
28,市川市新田,"66,000",2.0 ,1.0 ,28.00 ,18,8,1K,南東,木造
29,市川市菅野,"50,000",1.0 ,1.0 ,17.95 ,19,15,1R,南,木造
30,市川市市川南,"55,500",1.0 ,1.0 ,14.80 ,20,6,1K,西,木造
31,市川市大洲,"59,000",2.0 ,2.0 ,19.83 ,16,15,1K,東,木造
32,市川市市川南,"55,000",1.0 ,1.0 ,16.52 ,15,8,1K,南,木造
33,市川市真間,"67,000",2.0 ,0.0 ,28.35 ,12,7,1DK,南,木造
34,市川市須和田,"70,000",2.0 ,1.0 ,24.40 ,16,15,1K,南西,木造
35,市川市市川南,"61,000",2.0 ,1.0 ,23.00 ,22,2,1K,東,木造
36,市川市新田,"70,000",2.0 ,1.0 ,21.95 ,0,5,1K,南西,木造
37,市川市新田,"72,000",2.0 ,1.0 ,22.68 ,34,2,1K,南東,木造
38,市川市市川南,"49,000",1.0 ,1.0 ,16.00 ,20,7,1K,南,木造
39,市川市新田,"59,000",2.0 ,1.0 ,19.04 ,14,10,1R,南,軽量鉄骨
40,市川市市川南,"56,000",2.0 ,1.0 ,18.00 ,18,3,1R,南東,木造
41,市川市市川,"35,000",2.0 ,1.0 ,17.00 ,31,15,1K,南,軽量鉄骨
42,市川市大洲,"54,500",1.0 ,1.0 ,20.31 ,18,10,1K,西,木造
43,市川市市川南,"63,000",1.0 ,1.0 ,24.00 ,23,3,1K,南東,木造
44,市川市新田,"65,000",2.0 ,1.0 ,19.80 ,17,10,1K,南,木造
45,市川市市川南,"48,000",2.0 ,1.0 ,27.00 ,27,5,1DK,南,木造
46,市川市菅野,"56,500",1.0 ,1.0 ,14.76 ,19,15,1K,東,木造
47,市川市菅野,"54,500",1.0 ,1.0 ,15.94 ,18,15,1R,南,木造
48,市川市市川,"55,000",2.0 ,1.0 ,19.00 ,22,6,1K,南西,木造
49,市川市新田,"71,000",2.0 ,1.0 ,22.00 ,3,7,1R,東,軽量鉄骨
50,市川市新田,"72,000",2.0 ,1.0 ,23.10 ,16,3,1K,南東,木造
51,市川市大洲,"54,500",1.0 ,1.0 ,17.77 ,18,10,1K,東,木造
52,市川市真間,"67,000",1.0 ,1.0 ,30.83 ,19,10,1DK,南,木造
53,市川市市川南,"56,000",1.0 ,1.0 ,19.00 ,18,10,1R,南東,木造
54,市川市大町,"55,500",0.0 ,0.0 ,15.67 ,19,10,1K,東,軽量鉄骨
55,市川市新田,"50,000",2.0 ,1.0 ,14.87 ,17,10,1K,北東,木造
56,市川市市川,"52,000",1.0 ,2.0 ,20.66 ,22,7,1K,南,木造
57,市川市市川南,"61,500",1.0 ,1.0 ,28.92 ,23,4,1DK,南,木造
58,市川市新田,"77,000",2.0 ,1.0 ,23.10 ,16,3,1K,南東,木造
59,市川市真間,"56,000",1.0 ,1.0 ,19.00 ,18,9,1K,南,木造
60,市川市市川南,"46,000",1.0 ,1.0 ,14.00 ,19,8,1DK,南,木造
61,市川市市川南,"58,000",1.0 ,1.0 ,21.00 ,21,10,1R,南西,木造
62,市川市真間,"62,000",2.0 ,2.0 ,20.28 ,9,10,1K,西,木造
63,市川市市川南,"64,500",2.0 ,1.0 ,18.04 ,4,8,1K,西,木造
64,市川市市川南,"70,000",2.0 ,1.0 ,20.44 ,13,5,1K,南,木造
65,市川市大洲,"57,000",1.0 ,1.0 ,18.01 ,15,13,1K,南,木造
66,市川市新田,"65,000",1.0 ,2.0 ,20.00 ,18,10,1K,南,木造
67,市川市新田,"77,000",2.0 ,2.0 ,25.68 ,0,5,1K,南,木造
68,市川市市川南,"60,000",1.0 ,1.0 ,24.30 ,20,5,1K,南東,木造
69,市川市新田,"55,000",1.0 ,0.0 ,16.52 ,19,12,1K,南,軽量鉄骨
70,市川市市川南,"39,000",1.0 ,1.0 ,21.00 ,36,7,1K,南,木造
71,市川市大洲,"65,000",2.0 ,1.0 ,28.92 ,12,10,1DK,南東,木造
72,市川市新田,"65,000",2.0 ,1.0 ,22.98 ,0,13,1K,南,軽量鉄骨
73,市川市新田,"72,000",2.0 ,1.0 ,20.70 ,0,2,1K,南東,木造
74,市川市新田,"76,000",2.0 ,2.0 ,25.68 ,0,5,1K,南,木造
75,市川市新田,"72,000",2.0 ,1.0 ,23.10 ,14,3,1K,東,軽量鉄骨
76,市川市市川南,"66,000",1.0 ,1.0 ,19.87 ,11,2,1K,南,木造
